id,sentence,answer_kanji,reading,created_at,incorrect_count
209555c7-642a-46d9-8de6-f27577d3a9f2,村人たちを陰で操る盗賊の首領が捕らえられた。,操る,アヤツル,2025-09-23T13:49:46.651443,2
b0f6f244-aa8b-454f-9dba-7e26caf29c1b,体の寸法にあった服。,寸法,スンポウ,2025-09-23T14:06:19.363939,0
9a573e9b-fa79-49e6-ac66-ad4a41507c36,吟遊詩人がリュートを奏でる。,奏でる,カナデル,2025-09-23T14:06:55.762345,0
1ce5aab6-6672-4016-96d8-9ec372893bde,専ら部屋でゲームばかりしている。,専ら,モッパラ,2025-09-23T14:36:04.784575,0
1bca39f7-494c-4be7-b97e-927b02f77540,彼の意見には承服しかねる。,承服,ショウフク,2025-09-23T14:42:41.515455,0
ffb9993e-7877-4aa9-871a-ddcd2db5decd,台風で家の屋根が傷む。,傷む,イタム,2025-09-23T14:48:13.407091,0
b52a0f0b-0c35-4948-94e1-bb9d7bde3491,仁愛の精神を大切にする。,仁愛,ジンアイ,2025-09-23T16:16:27.120145,0
febe4849-de20-4683-9e79-4cd473d49e4b,予算の総額。,予算,ヨサン,2025-09-27T09:42:02.670854,0
0da848f7-5b59-41da-b8e3-6e595aab905c,想像力がたくましい。,想像,ソウゾウ,2025-09-27T09:47:43.848074,1
48edf6a7-c8d0-436b-a0de-a4e2def9b464,今年の冬は寒さが厳しい。,厳しい,キビシイ,2025-09-27T09:54:55.487354,1
8edf5bca-e07c-4a24-8b78-aacb120f6506,新しい道具を考案する。,考案,コウアン,2025-09-27T09:57:04.390552,1
26219bf3-3781-45aa-872b-4c14b9ed9014,規模が大きい,規模,キボ,2025-09-27T13:04:56.901396,1
8350bde8-08f8-44d8-96a2-c8f295921520,髪の毛を染める,染める,ソメル,2025-09-27T13:07:18.776398,1
1a6f7804-5e80-405e-8f03-f0776be6bf0e,新しいアプリを考案する,考案,コウアン,2025-09-27T13:08:44.922075,1
c2271d5b-8f67-4467-b179-9be11656bc95,平安時代の寝殿造,寝殿造,シンデンヅクリ,2025-09-27T13:10:49.330689,1
f41067cf-acfa-46e5-8429-acdec5cb3880,十二単を着る,十二単,ジュウニヒトエ,2025-09-27T13:15:00.604282,1
7814e1a7-e430-4039-bc75-02380115c928,阿倍仲麻呂は唐で和歌を詠んだ,阿倍仲麻呂,アベノナカマロ,2025-09-27T13:37:10.625614,1
72b0b015-4995-4818-8c84-afe323a2b7f2,展覧会を見に行く,展覧会,テンランカイ,2025-09-27T13:46:29.199450,1
80327ea2-b3e1-4d01-8992-889781062856,ごみを捨てる,捨てる,ステル,2025-09-27T13:46:53.273621,1
